,SARIMA,WMES,FFANN,RBF,L&NL-ANN,Model 1,Model 2
RMSE,57.27490507635292,65.76805111425057,61.85505649416583,40.54110651752143,32.43624726707457,29.759401095939324,29.295118277459256
MAPE,0.07702190648437873,0.12127018072026612,0.1133946273521123,0.06633172834193171,0.06071159454987922,0.05134227525537719,0.05182420578141224
MdAPE,0.0438810020859233,0.11526061794874079,0.09539123995092177,0.05885713392576304,0.056315025765946006,0.041368803489643315,0.041342454816932
DA,0.7894736842105263,0.6842105263157895,0.6736842105263158,0.8631578947368421,0.8526315789473683,0.8875,0.9
