Data,VelocidadeMediaVento
2013-08-08,4.033333
2013-08-09,4.4
2013-08-10,3.3
2013-08-11,2.8666669999999996
2013-08-12,4.866667
2013-08-13,3.433333
2013-08-14,3.433333
2013-08-15,4.633333
2013-08-16,5.233333
2013-08-17,4.066667
2013-08-18,3.3666669999999996
2013-08-19,3.3
2013-08-20,4.533333
2013-08-21,4.6666669999999995
2013-08-22,3.8666669999999996
2013-08-23,4.933333
2013-08-24,4.7
2013-08-25,4.133333
2013-08-26,4.966667
2013-08-27,5.8
2013-08-28,3.8666669999999996
2013-08-29,3.9666669999999997
2013-08-30,3.066667
2013-08-31,3.3
2013-09-01,5.9
2013-09-02,5.2
2013-09-03,2.8666669999999996
2013-09-04,4.933333
2013-09-05,5.233333
2013-09-06,5.233333
2013-09-07,5.266667
2013-09-08,5.8
2013-09-09,5.133333
2013-09-10,3.9666669999999997
2013-09-11,5.8333330000000005
2013-09-12,5.1666669999999995
2013-09-13,4.633333
2013-09-14,3.3
2013-09-15,3.4
2013-09-16,4.533333
2013-09-17,4.133333
2013-09-18,4.933333
2013-09-19,5.4
2013-09-20,5.966667
2013-09-21,3.333333
2013-09-22,3.7
2013-09-23,4.133333
2013-09-24,3.833333
2013-09-25,3.566667
2013-09-26,3.4
2013-09-27,4.7
2013-09-28,4.133333
2013-09-29,5.533333
2013-09-30,3.9
2013-10-01,4.6
2013-10-02,4.966667
2013-10-03,4.733333
2013-10-04,4.9
2013-10-05,4.733333
2013-10-06,4.2
2013-10-07,4.433333
2013-10-08,5.433333
2013-10-09,5.0
2013-10-10,5.233333
2013-10-11,5.233333
2013-10-12,3.9666669999999997
2013-10-13,4.433333
2013-10-14,5.2
2013-10-15,4.966667
2013-10-16,4.766667
2013-10-17,5.1666669999999995
2013-10-18,4.533333
2013-10-19,4.033333
2013-10-20,4.4
2013-10-21,5.0
2013-10-22,5.566667
2013-10-23,6.1
2013-10-24,5.1
2013-10-25,3.933333
2013-10-26,4.3
2013-10-27,3.9666669999999997
2013-10-28,3.6333330000000004
2013-10-29,4.533333
2013-10-30,4.366667
2013-10-31,3.4
2013-11-01,4.8
2013-11-02,4.4
2013-11-03,5.0
2013-11-04,3.733333
2013-11-05,4.933333
2013-11-06,4.7
2013-11-07,4.966667
2013-11-08,5.066667
2013-11-09,5.866667
2013-11-10,4.966667
2013-11-11,4.533333
2013-11-12,4.133333
2013-11-13,3.9666669999999997
2013-11-14,4.133333
2013-11-15,5.8
2013-11-16,5.2
2013-11-17,4.433333
2013-11-18,4.266667
2013-11-19,4.133333
2013-11-20,4.3
2013-11-21,4.433333
2013-11-22,3.2
2013-11-23,4.6666669999999995
2013-11-24,5.1666669999999995
2013-11-25,5.1666669999999995
2013-11-26,5.233333
2013-11-27,3.566667
2013-11-28,4.4
2013-11-29,3.9666669999999997
2013-11-30,4.433333
2013-12-01,4.6666669999999995
2013-12-02,4.966667
2013-12-03,4.433333
2013-12-04,3.0
2013-12-05,2.9666669999999997
2013-12-06,3.733333
2013-12-07,3.8666669999999996
2013-12-08,5.0
2013-12-09,4.433333
2013-12-10,4.7
2013-12-11,4.066667
2013-12-12,3.8666669999999996
2013-12-13,2.9666669999999997
2013-12-14,5.5
2013-12-15,4.433333
2013-12-16,2.8666669999999996
2013-12-17,4.533333
2013-12-18,3.333333
2013-12-19,3.8666669999999996
2013-12-20,3.3
2013-12-21,2.833333
2013-12-22,3.766667
2013-12-23,4.533333
2013-12-24,3.0333330000000003
2013-12-25,4.2
2013-12-26,5.233333
2013-12-27,3.9666669999999997
2013-12-28,3.3
2013-12-29,3.4
2013-12-30,4.433333
2013-12-31,3.8666669999999996
2014-01-01,4.733333
2014-01-02,3.9666669999999997
2014-01-03,4.533333
2014-01-04,4.566667
2014-01-05,5.066667
2014-01-06,3.8666669999999996
2014-01-07,3.3
2014-01-08,3.3
2014-01-09,3.3
2014-01-10,3.566667
2014-01-11,2.8666669999999996
2014-01-12,3.6
2014-01-13,2.9
2014-01-14,4.933333
2014-01-15,4.8
2014-01-16,4.233333
2014-01-17,3.8666669999999996
2014-01-18,4.7
2014-01-19,3.8666669999999996
2014-01-20,4.633333
2014-01-21,4.4
2014-01-22,5.466667
2014-01-23,4.633333
2014-01-24,4.966667
2014-01-25,5.566667
2014-01-26,4.6666669999999995
2014-01-27,5.7
2014-01-28,5.0
2014-01-29,4.7
2014-01-30,3.0333330000000003
2014-01-31,4.933333
2014-02-01,4.7
2014-02-02,4.4
2014-02-03,3.3
2014-02-04,3.8666669999999996
2014-02-05,3.8666669999999996
2014-02-06,3.3
2014-02-07,3.566667
2014-02-08,4.7
2014-02-09,4.4
2014-02-10,4.266667
2014-02-11,2.9
2014-02-12,4.433333
2014-02-13,3.9666669999999997
2014-02-14,3.566667
2014-02-15,4.033333
2014-02-16,3.566667
2014-02-17,3.833333
2014-02-18,3.2
2014-02-19,3.433333
2014-02-20,4.433333
2014-02-21,5.3333330000000005
2014-02-22,4.1666669999999995
2014-02-23,3.3
2014-02-24,4.966667
2014-02-25,5.1
2014-02-26,4.533333
2014-02-27,3.3
2014-02-28,3.6333330000000004
2014-03-01,4.366667
2014-03-02,3.566667
